player_name,league,role,cluster,cluster_name
C McKerr,T20_Blast,Bowler,2,Developing Bowlers
C Rushworth,T20_Blast,Bowler,0,Experienced Wicket-Takers
C Sakariya,IPL,Bowler,1,Recent-Form Strike Bowlers
C Valente,BBL,Bowler,2,Developing Bowlers
CA Rose,BBL,Bowler,2,Developing Bowlers
CAJ Morris,T20_Blast,Bowler,2,Developing Bowlers
CD Hinchliffe,BBL,Bowler,2,Developing Bowlers
CH Morris,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
CH Morris,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
CJ Boyce,BBL,Bowler,0,Experienced Wicket-Takers
CJ Gannon,BBL,Bowler,1,Recent-Form Strike Bowlers
CJ Haggett,T20_Blast,Bowler,2,Developing Bowlers
CJ Jordan,CPL,Bowler,1,Recent-Form Strike Bowlers
CJ Jordan,IPL,Bowler,2,Developing Bowlers
CJ Jordan,PSL,Bowler,1,Recent-Form Strike Bowlers
CJ Liddle,T20_Blast,Bowler,2,Developing Bowlers
CJ McKay,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
CJ McKay,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
CJ Russell,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
CJC Wright,T20_Blast,Bowler,2,Developing Bowlers
CN Miles,T20_Blast,Bowler,0,Experienced Wicket-Takers
CP Tremain,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
CP Wood,T20_Blast,Bowler,0,Experienced Wicket-Takers
CR Brathwaite,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
CR Brathwaite,IPL,Bowler,2,Developing Bowlers
CR Brathwaite,PSL,Bowler,2,Developing Bowlers
CR Woakes,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
CRD Fernando,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
CT Steel,T20_Blast,Bowler,2,Developing Bowlers
CV Varun,IPL,Bowler,0,Experienced Wicket-Takers
D Bishoo,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
D Klein,T20_Blast,Bowler,2,Developing Bowlers
D Moriarty,T20_Blast,Bowler,0,Experienced Wicket-Takers
D Paterson,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
D Wiese,IPL,Bowler,2,Developing Bowlers
DA Cosker,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
DA Griffiths,T20_Blast,Bowler,2,Developing Bowlers
DA Payne,BBL,Bowler,1,Recent-Form Strike Bowlers
DA Payne,T20_Blast,Bowler,0,Experienced Wicket-Takers
DC Drakes,CPL,Bowler,2,Developing Bowlers
DD Masters,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
DE Bernard,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
