weight_scenario,mean_overlap_n,min_overlap_n,mean_overlap_pct,mean_jaccard
balanced,8.833333333333334,7,0.8030303030303031,0.6891941391941391
forecast_dominant,9.666666666666666,9,0.8787878787878789,0.7948717948717948
form_heavy,6.666666666666667,5,0.6060606060606061,0.45498366013071895
primary_forecast_only,11.0,11,1.0,1.0
reliability_heavy,8.833333333333334,8,0.8030303030303031,0.6865079365079364
reliability_moderate,9.0,8,0.8181818181818182,0.7066544566544567
