player_name,league,role,cluster,cluster_name
MA Carberry,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MA Jones,T20_Blast,Batsman,3,Elite Established Batters
MA Starc,BBL,Bowler,1,Developing Bowlers & Bowling All-Rounders
MA Starc,IPL,Bowler,0,Elite Bowlers & Bowling All-Rounders
MA Wallace,T20_Blast,Wicketkeeper-Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MA Wood,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
MAG Boyce,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MC Henriques,BBL,All-Rounder,3,Elite Established Batters
MC Henriques,IPL,All-Rounder,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MD Fisher,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
MD Mishra,IPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MD Stoneman,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MD Taylor,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
MDE Holden,T20_Blast,Batsman,3,Elite Established Batters
ME Claydon,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
ME Milnes,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
ME Trescothick,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MEK Hussey,BBL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MEK Hussey,IPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MET Salisbury,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
MF Hurst,T20_Blast,Batsman,3,Elite Established Batters
MF Maharoof,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
MG Hogan,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
MG Johnson,BBL,Bowler,1,Developing Bowlers & Bowling All-Rounders
MG Johnson,IPL,All-Rounder,1,Developing Bowlers & Bowling All-Rounders
MG Neser,BBL,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
MG Neser,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
MGK Burgess,T20_Blast,Wicketkeeper-Batsman,3,Elite Established Batters
MH McKiernan,T20_Blast,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
MH Wessels,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MH Yardy,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
MJ Cosgrove,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MJ Guptill,BBL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MJ Guptill,CPL,Batsman,3,Elite Established Batters
MJ Guptill,IPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MJ Guptill,PSL,Batsman,3,Elite Established Batters
MJ Guptill,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MJ Henry,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
MJ Lumb,BBL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MJ Lumb,IPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MJ Lumb,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MJ McClenaghan,BBL,Bowler,1,Developing Bowlers & Bowling All-Rounders
MJ McClenaghan,CPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
MJ McClenaghan,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
MJ North,BBL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MJ North,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MJ Owen,BBL,Batsman,3,Elite Established Batters
MJ Potts,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
MJ Richardson,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MJ Santner,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
MJ Santner,T20_Blast,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
MJ Swepson,BBL,Bowler,0,Elite Bowlers & Bowling All-Rounders
MJ Waite,T20_Blast,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
MJJ Critchley,T20_Blast,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
MK Andersson,T20_Blast,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
MK Lomror,IPL,Batsman,3,Elite Established Batters
MK O'Riordan,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
MK Pandey,IPL,Batsman,3,Elite Established Batters
MK Tiwary,IPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
ML Hayden,IPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
ML Pettini,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
ML Revis,T20_Blast,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
MM Ali,CPL,Bowler,0,Elite Bowlers & Bowling All-Rounders
MM Ali,IPL,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
MM Ali,T20_Blast,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
MM Patel,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
MM Sharma,IPL,Bowler,0,Elite Bowlers & Bowling All-Rounders
MN Samuels,CPL,All-Rounder,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MN Samuels,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
MNW Spriegel,T20_Blast,Batsman,1,Developing Bowlers & Bowling All-Rounders
MP Breetzke,T20_Blast,Batsman,3,Elite Established Batters
MP Dunn,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
MP Kuhnemann,BBL,Bowler,1,Developing Bowlers & Bowling All-Rounders
MP Stoinis,BBL,All-Rounder,3,Elite Established Batters
MP Stoinis,IPL,All-Rounder,3,Elite Established Batters
MR Marsh,BBL,All-Rounder,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MR Marsh,IPL,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
MR Quinn,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
MRJ Watt,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
MS Bisla,IPL,Wicketkeeper-Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MS Crane,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
MS Dhoni,IPL,Wicketkeeper-Batsman,3,Elite Established Batters
MS Gony,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
MS Harris,BBL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MS Pepper,T20_Blast,Batsman,3,Elite Established Batters
MS Wade,BBL,Wicketkeeper-Batsman,3,Elite Established Batters
MS Wade,IPL,Wicketkeeper-Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MT Coles,T20_Blast,All-Rounder,1,Developing Bowlers & Bowling All-Rounders
MT Renshaw,BBL,Batsman,3,Elite Established Batters
MT Stanley,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
MT Steketee,BBL,Bowler,0,Elite Bowlers & Bowling All-Rounders
MTC Waller,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
MV Boucher,IPL,Wicketkeeper-Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MW Forde,CPL,Bowler,0,Elite Bowlers & Bowling All-Rounders
MW Harvey,BBL,Batsman,3,Elite Established Batters
MW Hill,BBL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MW Machan,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
MW Parkinson,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
MW Pillans,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
MW Short,BBL,All-Rounder,3,Elite Established Batters
Mahmudullah,CPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Mandeep Singh,IPL,Batsman,3,Elite Established Batters
Miles Hammond,T20_Blast,Batsman,3,Elite Established Batters
Mir Hamza,PSL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Mirza Baig,PSL,Batsman,3,Elite Established Batters
Misbah-ul-Haq,CPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
Misbah-ul-Haq,PSL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
Mohammad Ali,PSL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Mohammad Amir,CPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Mohammad Amir,PSL,Bowler,0,Elite Bowlers & Bowling All-Rounders
Mohammad Amir,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
Mohammad Asghar,PSL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Mohammad Hafeez,CPL,All-Rounder,1,Developing Bowlers & Bowling All-Rounders
Mohammad Hafeez,PSL,All-Rounder,3,Elite Established Batters
Mohammad Haris,PSL,Batsman,3,Elite Established Batters
Mohammad Hasnain,PSL,Bowler,0,Elite Bowlers & Bowling All-Rounders
Mohammad Ilyas,PSL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Mohammad Imran,PSL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Mohammad Irfan,CPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Mohammad Irfan,PSL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Mohammad Irfan (4),PSL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Mohammad Nabi,BBL,All-Rounder,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
Mohammad Nabi,CPL,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
Mohammad Nabi,IPL,All-Rounder,1,Developing Bowlers & Bowling All-Rounders
Mohammad Nabi,PSL,All-Rounder,3,Elite Established Batters
Mohammad Nabi,T20_Blast,All-Rounder,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
Mohammad Nawaz,PSL,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
Mohammad Nawaz (3),PSL,All-Rounder,1,Developing Bowlers & Bowling All-Rounders
Mohammad Rizwan,PSL,Wicketkeeper-Batsman,3,Elite Established Batters
Mohammad Sami,CPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Mohammad Sami,PSL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Mohammad Umar,PSL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Mohammad Wasim,PSL,Bowler,0,Elite Bowlers & Bowling All-Rounders
Mohammed Shami,IPL,Bowler,0,Elite Bowlers & Bowling All-Rounders
Mohammed Siraj,IPL,Bowler,0,Elite Bowlers & Bowling All-Rounders
