model,macro_f1,balanced_accuracy,elite_recall,poor_f1,average_f1,elite_f1,spearman_rho,ndcg_at_10,log_loss,brier_score,predict_time_seconds,is_baseline
Logistic Regression,0.5697692931071529,0.5724331926863573,0.5949367088607594,0.6309523809523809,0.4745011086474501,0.6038543897216274,0.5472662659890173,0.8243054619851339,0.9334110475346795,0.5585240228416605,0.012152671813964844,True
MLP,0.5558515911629717,0.5625879043600562,0.6497890295358649,0.6086956521739131,0.43914081145584727,0.6197183098591549,0.5445590714884216,0.8606280091411552,0.9496444932252197,0.5654243906718692,0.00919961929321289,False
CatBoost,0.5540504196744006,0.5569620253164557,0.6286919831223629,0.5846774193548387,0.4604966139954853,0.6169772256728778,0.5447792401258459,0.8695427425381657,0.9409620257004417,0.5596173161341259,0.016574382781982422,False
Random Forest,0.5511200198278688,0.5555555555555557,0.6413502109704642,0.5971370143149284,0.4470046082949309,0.6092184368737475,0.5569685097334627,0.8548637683486042,0.934348395159131,0.5567564616938373,0.23427081108093262,False
XGBoost,0.5463189671990363,0.549929676511955,0.6160337552742616,0.5951417004048583,0.44545454545454544,0.5983606557377049,0.5516388728872643,0.8722245975825579,0.9345280234913327,0.5578385723442512,0.017455101013183594,False
FT-Transformer,0.5451893440144412,0.5485232067510548,0.6075949367088608,0.5943775100401606,0.44243792325056436,0.5987525987525988,0.5405553209259487,0.8550076057119279,0.9431024894673884,0.5633080066780514,1.0522093772888184,False
Previous-season tier,0.512742625160333,0.5232067510548523,0.5147679324894515,0.608540925266904,0.37889688249400477,0.5507900677200903,0.4452078055843927,0.6871738757455187,17.18537060324995,0.9535864978902954,0.0,True
Dummy (stratified),0.3343938540140501,0.3347398030942335,0.37130801687763715,0.35,0.2826552462526767,0.3705263157894737,0.06687581250548452,0.5274248901182863,23.97840795084727,1.330520393811533,0.001100301742553711,True
Dummy (most_frequent),0.16666666666666666,0.3333333333333333,0.0,0.5,0.0,0.0,,0.5032563722867004,24.029102259411427,1.3333333333333333,0.0012180805206298828,True
