player_name,league,role,cluster,cluster_name
Mohammad Nawaz (3),PSL,All-Rounder,2,Low-Recent-Activity All-Rounders
N McAndrew,BBL,All-Rounder,0,Bowling-Oriented All-Rounders
NJ Dexter,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
NLTC Perera,IPL,All-Rounder,2,Low-Recent-Activity All-Rounders
NM Coulter-Nile,BBL,All-Rounder,0,Bowling-Oriented All-Rounders
NT Ellis,BBL,All-Rounder,0,Bowling-Oriented All-Rounders
OF Smith,CPL,All-Rounder,3,Developing All-Rounders
OJ Price,T20_Blast,All-Rounder,3,Developing All-Rounders
P Coughlin,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
P Negi,IPL,All-Rounder,2,Low-Recent-Activity All-Rounders
PD Collingwood,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
PI Walter,T20_Blast,All-Rounder,1,Balanced Established All-Rounders
PJ Cummins,IPL,All-Rounder,3,Developing All-Rounders
PR Stirling,T20_Blast,All-Rounder,1,Balanced Established All-Rounders
R Bhatia,IPL,All-Rounder,2,Low-Recent-Activity All-Rounders
R Clarke,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
R Dhawan,IPL,All-Rounder,3,Developing All-Rounders
R Shepherd,CPL,All-Rounder,0,Bowling-Oriented All-Rounders
R Tewatia,IPL,All-Rounder,3,Developing All-Rounders
RA Jadeja,IPL,All-Rounder,1,Balanced Established All-Rounders
RA Reifer,CPL,All-Rounder,0,Bowling-Oriented All-Rounders
RAJ Smith,T20_Blast,All-Rounder,3,Developing All-Rounders
RD Pringle,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
RE van der Merwe,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
RF Higgins,T20_Blast,All-Rounder,1,Balanced Established All-Rounders
RJ Harris,IPL,All-Rounder,2,Low-Recent-Activity All-Rounders
RK Kleinveldt,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
RL Chase,CPL,All-Rounder,1,Balanced Established All-Rounders
RRS Cornwall,CPL,All-Rounder,1,Balanced Established All-Rounders
RS Bopara,T20_Blast,All-Rounder,1,Balanced Established All-Rounders
RS Primus,CPL,All-Rounder,3,Developing All-Rounders
Rashid Khan,BBL,All-Rounder,0,Bowling-Oriented All-Rounders
Rashid Khan,PSL,All-Rounder,0,Bowling-Oriented All-Rounders
Rehan Ahmed,T20_Blast,All-Rounder,3,Developing All-Rounders
S Steel,T20_Blast,All-Rounder,3,Developing All-Rounders
SA Abbott,BBL,All-Rounder,0,Bowling-Oriented All-Rounders
SG Borthwick,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
SJ Croft,T20_Blast,All-Rounder,1,Balanced Established All-Rounders
SJ Mullaney,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
SJ Thakor,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
SK Raina,IPL,All-Rounder,1,Balanced Established All-Rounders
SK Springer,CPL,All-Rounder,3,Developing All-Rounders
SK Warne,IPL,All-Rounder,2,Low-Recent-Activity All-Rounders
SM Curran,IPL,All-Rounder,3,Developing All-Rounders
SM Curran,T20_Blast,All-Rounder,1,Balanced Established All-Rounders
SP Crook,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
SP Narine,BBL,All-Rounder,2,Low-Recent-Activity All-Rounders
SP Narine,CPL,All-Rounder,0,Bowling-Oriented All-Rounders
SP Narine,IPL,All-Rounder,0,Bowling-Oriented All-Rounders
SP Narine,PSL,All-Rounder,2,Low-Recent-Activity All-Rounders
SP Narine,T20_Blast,All-Rounder,3,Developing All-Rounders
SR Harmer,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
SR Patel,PSL,All-Rounder,3,Developing All-Rounders
SR Patel,T20_Blast,All-Rounder,1,Balanced Established All-Rounders
SR Watson,BBL,All-Rounder,2,Low-Recent-Activity All-Rounders
SR Watson,IPL,All-Rounder,1,Balanced Established All-Rounders
SR Watson,PSL,All-Rounder,2,Low-Recent-Activity All-Rounders
ST Jayasuriya,IPL,All-Rounder,2,Low-Recent-Activity All-Rounders
STR Binny,IPL,All-Rounder,2,Low-Recent-Activity All-Rounders
Shadab Khan,BBL,All-Rounder,3,Developing All-Rounders
Shadab Khan,CPL,All-Rounder,2,Low-Recent-Activity All-Rounders
Shadab Khan,PSL,All-Rounder,0,Bowling-Oriented All-Rounders
Shadab Khan,T20_Blast,All-Rounder,3,Developing All-Rounders
Shahbaz Ahmed,IPL,All-Rounder,3,Developing All-Rounders
Shahid Afridi,PSL,All-Rounder,0,Bowling-Oriented All-Rounders
Shahid Afridi,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
Shakib Al Hasan,CPL,All-Rounder,3,Developing All-Rounders
Shakib Al Hasan,IPL,All-Rounder,2,Low-Recent-Activity All-Rounders
Shakib Al Hasan,PSL,All-Rounder,2,Low-Recent-Activity All-Rounders
Shoaib Malik,BBL,All-Rounder,2,Low-Recent-Activity All-Rounders
Shoaib Malik,CPL,All-Rounder,2,Low-Recent-Activity All-Rounders
