player_name,league,total_runs,balls_faced,batting_matches_played,innings_played,times_dismissed,batting_average,strike_rate,fours,sixes,boundary_percentage,wickets,balls_bowled,runs_conceded,bowling_matches_played,innings_bowled,overs_bowled,economy_rate,bowling_average,bowling_strike_rate,wickets_per_match,recent_strike_rate,recent_batting_average,recent_runs_per_match,recent_economy_rate,recent_wickets_per_match,has_batting_record,has_bowling_record,has_dismissal,has_wicket,role,bat_bowl_ratio,batting_credit_raw,bowling_credit_raw,role_credit,total_matches,reliability_weight,role_credit_reliable,recent_form_score,final_raw_score,performance_credit
BA Godleman,T20_Blast,1422.0,1215.0,65.0,65.0,58.0,24.52,117.04,121.0,39.0,13.17,0.0,0.0,0.0,0.0,0.0,0.0,58.23,203.5,118.8,0.0,0.0,0.0,0.0,38.82,0.0,1,0,1.0,0,Batsman,65.0,32.8792,0.0,32.8792,65.0,0.9848,32.3794,0.0,24.2845,39.0
BA King,CPL,1837.0,1387.0,74.0,74.0,66.0,27.83,132.44,177.0,97.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,58.23,203.5,118.8,0.0,137.57,30.76,29.58,38.82,0.0,1,0,1.0,0,Batsman,74.0,40.4067,0.0,40.4067,74.0,1.0,40.4067,44.2513,41.3679,68.0
BA Raine,T20_Blast,1226.0,934.0,84.0,84.0,68.0,18.03,131.26,90.0,59.0,15.95,115.0,1999.0,2754.0,104.0,104.0,333.17,8.27,23.95,17.38,1.11,134.25,15.47,12.25,7.41,1.27,1,1,1.0,1,All-Rounder,0.81,33.1141,71.2947,54.2356,104.0,1.0,54.2356,48.3879,52.7737,81.12
BA Stokes,IPL,935.0,698.0,43.0,43.0,38.0,24.61,133.95,81.0,32.0,16.19,28.0,689.0,992.0,38.0,38.0,114.83,8.64,35.43,24.61,0.74,107.14,7.5,7.5,18.0,0.0,1,1,1.0,1,All-Rounder,1.13,34.9898,52.5418,43.2234,43.0,0.4216,18.223,20.7232,18.848,25.35
BA Stokes,T20_Blast,537.0,403.0,23.0,23.0,21.0,25.57,133.25,55.0,21.0,18.86,17.0,235.0,333.0,13.0,13.0,39.17,8.5,19.59,13.82,1.31,0.0,0.0,0.0,38.82,0.0,1,1,1.0,1,Batsman,1.77,35.2424,52.4803,35.2424,23.0,0.3485,12.282,0.0,9.2115,13.41
BAC Howell,T20_Blast,1770.0,1297.0,98.0,98.0,74.0,23.92,136.47,125.0,73.0,15.27,141.0,2437.0,2940.0,115.0,115.0,406.17,7.24,20.85,17.28,1.23,171.01,25.44,15.65,7.6,0.74,1,1,1.0,1,All-Rounder,0.85,37.2482,77.7703,59.1261,115.0,1.0,59.1261,45.9698,55.837,86.16
BAD Manenti,BBL,89.0,98.0,12.0,12.0,9.0,9.89,90.82,3.0,2.0,5.1,19.0,501.0,633.0,30.0,30.0,83.5,7.58,33.32,26.37,0.63,96.97,9.14,8.0,9.37,0.3,1,1,1.0,1,Bowler,0.4,16.3945,52.0962,52.0962,30.0,0.3571,18.6036,41.497,24.327,25.51
BAW Mendis,IPL,3.0,6.0,3.0,3.0,2.0,1.5,50.0,0.0,0.0,0.0,8.0,244.0,303.0,10.0,10.0,40.67,7.45,37.88,30.5,0.8,0.0,0.0,0.0,38.82,0.0,1,1,1.0,1,Bowler,0.3,5.4996,49.5186,49.5186,10.0,0.098,4.8528,0.0,3.6396,0.28
BB McCullum,BBL,933.0,679.0,34.0,34.0,33.0,28.27,137.41,88.0,39.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,58.23,203.5,118.8,0.0,0.0,0.0,0.0,38.82,0.0,1,0,1.0,0,Wicketkeeper-Batsman,34.0,37.8951,0.0,41.6846,34.0,0.4048,16.8739,0.0,12.6554,19.27
BB McCullum,CPL,836.0,571.0,33.0,33.0,27.0,30.96,146.41,64.0,53.0,20.49,0.0,0.0,0.0,0.0,0.0,0.0,58.23,203.5,118.8,0.0,0.0,0.0,0.0,38.82,0.0,1,0,1.0,0,Wicketkeeper-Batsman,33.0,40.5426,0.0,44.5969,33.0,0.4583,20.4388,0.0,15.3291,24.02
BB McCullum,IPL,2882.0,2190.0,109.0,109.0,104.0,27.71,131.6,293.0,130.0,19.32,0.0,0.0,0.0,0.0,0.0,0.0,58.23,203.5,118.8,0.0,0.0,0.0,0.0,38.82,0.0,1,0,1.0,0,Wicketkeeper-Batsman,109.0,43.3153,0.0,47.6468,109.0,1.0,47.6468,0.0,35.7351,60.32
BB McCullum,PSL,323.0,277.0,17.0,17.0,17.0,19.0,116.61,29.0,16.0,16.25,0.0,6.0,13.0,1.0,1.0,1.0,13.0,203.5,118.8,0.0,0.0,0.0,0.0,38.82,0.0,1,1,1.0,0,Wicketkeeper-Batsman,17.0,28.8828,22.1068,31.7711,17.0,0.3148,10.0015,0.0,7.5011,10.1
BB McCullum,T20_Blast,622.0,377.0,21.0,21.0,19.0,32.74,164.99,56.0,39.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,58.23,203.5,118.8,0.0,0.0,0.0,0.0,38.82,0.0,1,0,1.0,0,Wicketkeeper-Batsman,21.0,45.1065,0.0,49.6172,21.0,0.3182,15.7882,0.0,11.8411,17.82
BB Sran,IPL,10.0,14.0,7.0,7.0,1.0,10.0,71.43,0.0,0.0,0.0,18.0,483.0,757.0,24.0,24.0,80.5,9.4,42.06,26.83,0.75,0.0,0.0,0.0,38.82,0.0,1,1,1.0,1,Bowler,0.29,11.2969,49.0224,49.0224,24.0,0.2353,11.535,0.0,8.6513,6.39
BC Brown,T20_Blast,501.0,413.0,35.0,35.0,31.0,16.16,121.31,42.0,10.0,12.59,0.0,0.0,0.0,0.0,0.0,0.0,58.23,203.5,118.8,0.0,0.0,0.0,0.0,38.82,0.0,1,0,1.0,0,Batsman,35.0,27.3359,0.0,27.3359,35.0,0.5303,14.4962,0.0,10.8722,16.23
BC Cullen,T20_Blast,78.0,71.0,13.0,13.0,8.0,9.75,109.86,7.0,1.0,11.27,43.0,662.0,1022.0,33.0,33.0,110.33,9.26,23.77,15.4,1.3,106.06,7.0,5.0,9.5,1.1,1,1,1.0,1,Bowler,0.39,21.6546,56.2862,56.2862,33.0,0.5,28.1431,63.0693,36.8746,40.81
BCJ Cutting,BBL,1709.0,1199.0,97.0,97.0,75.0,22.79,142.54,126.0,94.0,18.35,71.0,1581.0,2304.0,103.0,103.0,263.5,8.74,32.45,22.27,0.69,115.15,19.0,10.86,8.18,0.38,1,1,1.0,1,All-Rounder,0.94,38.8819,61.199,50.3752,103.0,1.0,50.3752,35.2892,46.6037,70.98
