player_name,league,role,cluster,cluster_name
C Connolly,BBL,Batsman,2,Recent-Form Batters
C Munro,BBL,Batsman,2,Recent-Form Batters
C Munro,CPL,Batsman,1,Elite High-Volume Batters
C Munro,IPL,Batsman,3,Developing Batters
C Munro,PSL,Batsman,1,Elite High-Volume Batters
C Munro,T20_Blast,Batsman,1,Elite High-Volume Batters
C de Grandhomme,BBL,Batsman,2,Recent-Form Batters
C de Grandhomme,CPL,Batsman,0,"Established Batters, Low Recent Activity"
C de Grandhomme,IPL,Batsman,3,Developing Batters
CA Ingram,BBL,Batsman,0,"Established Batters, Low Recent Activity"
CA Ingram,CPL,Batsman,3,Developing Batters
CA Ingram,IPL,Batsman,3,Developing Batters
CA Ingram,PSL,Batsman,0,"Established Batters, Low Recent Activity"
CA Lynn,BBL,Batsman,1,Elite High-Volume Batters
CA Lynn,CPL,Batsman,0,"Established Batters, Low Recent Activity"
CA Lynn,IPL,Batsman,0,"Established Batters, Low Recent Activity"
CA Lynn,PSL,Batsman,0,"Established Batters, Low Recent Activity"
CA Lynn,T20_Blast,Batsman,2,Recent-Form Batters
CA Pujara,IPL,Batsman,3,Developing Batters
CAK Walton,CPL,Wicketkeeper-Batsman,1,Elite High-Volume Batters
CAK Walton,PSL,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
CB Cooke,T20_Blast,Wicketkeeper-Batsman,1,Elite High-Volume Batters
CD Barnwell,CPL,Batsman,3,Developing Batters
CD Nash,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
CDJ Dent,T20_Blast,Batsman,2,Recent-Form Batters
CF Hughes,T20_Blast,Batsman,3,Developing Batters
CG Benjamin,T20_Blast,Batsman,2,Recent-Form Batters
CH Gayle,BBL,Batsman,0,"Established Batters, Low Recent Activity"
CH Gayle,CPL,Batsman,1,Elite High-Volume Batters
CH Gayle,IPL,Batsman,1,Elite High-Volume Batters
CH Gayle,PSL,Batsman,0,"Established Batters, Low Recent Activity"
CJ Anderson,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
CJ Borgas,BBL,Batsman,3,Developing Batters
CJ Ferguson,BBL,Batsman,0,"Established Batters, Low Recent Activity"
