player_name,league,target_season,cutoff_season,forecast_prob_poor,forecast_prob_average,forecast_prob_elite,role,recent_form,recent_form_percentile,n_recent_seasons_used,reliability,reliability_percentile,forecast_expected_tier,forecast_normalized,forecast_predicted_tier,eligible,forecast_model,forecast_model_status
F du Plessis,IPL,2024,2023,0.08028965,0.3119314,0.6077789,Batsman,83.686,0.9791666666666666,3,1.0,0.7741935483870968,1.5274892,0.7637446,Elite,1,FT-Transformer,frozen_primary
FA Allen,CPL,2024,2023,0.18237142,0.48210004,0.33552855,All-Rounder,55.31100000000001,0.2631578947368421,3,1.0,0.631578947368421,1.15315714,0.57657857,Average,1,FT-Transformer,frozen_primary
FIN Khushi,T20_Blast,2024,2023,0.20018652,0.5359398,0.26387373,Batsman,45.085,0.5064935064935064,3,0.7333,0.4677419354838709,1.06368726,0.53184363,Average,1,FT-Transformer,frozen_primary
FJ Heldreich,T20_Blast,2024,2023,0.14802654,0.2009769,0.65099657,Bowler,75.32000000000001,0.8064516129032258,2,0.9333,0.5740740740740741,1.5029700400000001,0.7514850200000001,Elite,1,FT-Transformer,frozen_primary
FJ Hudson-Prentice,T20_Blast,2024,2023,0.3375857,0.42310393,0.23931044,All-Rounder,32.09400000000001,0.0793650793650793,3,1.0,0.6190476190476191,0.90172481,0.450862405,Average,1,FT-Transformer,frozen_primary
Faheem Ashraf,PSL,2024,2023,0.07705902,0.27609757,0.6468434,All-Rounder,66.00500000000002,0.8,3,1.0,0.75,1.5697843699999998,0.7848921849999999,Elite,1,FT-Transformer,frozen_primary
Fakhar Zaman,PSL,2024,2023,0.09994647,0.37807113,0.52198243,Batsman,72.09800000000001,0.92,3,1.0,0.8676470588235294,1.42203599,0.711017995,Elite,1,FT-Transformer,frozen_primary
G Clark,T20_Blast,2024,2023,0.2082182,0.507191,0.2845909,Batsman,61.72200000000001,0.8311688311688312,3,1.0,0.7956989247311828,1.0763728,0.5381864,Average,1,FT-Transformer,frozen_primary
G Motie,CPL,2024,2023,0.09438051,0.20777917,0.69784033,Bowler,72.20666666666668,0.8571428571428571,2,0.9,0.7407407407407407,1.60345983,0.801729915,Elite,1,FT-Transformer,frozen_primary
G Stewart,T20_Blast,2024,2023,0.08690871,0.23051777,0.68257344,All-Rounder,86.85000000000001,0.984126984126984,3,1.0,0.6190476190476191,1.59566465,0.797832325,Elite,1,FT-Transformer,frozen_primary
GA Bartlett,T20_Blast,2024,2023,0.69389737,0.22068669,0.08541589,Batsman,4.115,0.0519480519480519,2,0.2333,0.1505376344086021,0.39151846999999995,0.19575923499999998,Poor,1,FT-Transformer,frozen_primary
GCH Hill,T20_Blast,2024,2023,0.67217803,0.20412783,0.12369413,Batsman,10.7825,0.1168831168831168,2,0.2667,0.1720430107526881,0.45151609000000004,0.22575804500000002,Poor,1,FT-Transformer,frozen_primary
GH Dockrell,T20_Blast,2024,2023,0.6012017,0.17227861,0.22651976,Bowler,,,0,0.1333,0.0802469135802469,0.6253181299999999,0.31265906499999996,Poor,1,FT-Transformer,frozen_primary
GH Roderick,T20_Blast,2024,2023,0.6348108,0.26793304,0.09725623,Batsman,29.16,0.2337662337662337,1,0.6,0.3870967741935484,0.4624455,0.23122275,Poor,1,FT-Transformer,frozen_primary
GHS Garton,BBL,2024,2023,0.38350496,0.2828585,0.3336366,Bowler,,,0,0.2,0.1904761904761904,0.9501317,0.47506585,Poor,1,FT-Transformer,frozen_primary
GHS Garton,T20_Blast,2024,2023,0.25551742,0.47695574,0.26752687,All-Rounder,49.11800000000001,0.238095238095238,3,0.93335,0.1587301587301587,1.0120094800000001,0.5060047400000001,Average,1,FT-Transformer,frozen_primary
GID Lavelle,T20_Blast,2024,2023,0.6927384,0.20318688,0.10407463,Batsman,,,0,0.0667,0.0161290322580645,0.41133613999999996,0.20566806999999998,Poor,1,FT-Transformer,frozen_primary
